id,name,country,rank,match_id,match_name,domain,web,score,how
10252,King Fahd University of Petroleum & Minerals,Saudi Arabia,67,7531,King Fahad University of Petroleum and Minerals,kfupm.edu.sa,http://www.kfupm.edu.sa/,0.944,fuzzy
10280,Humboldt-Universität zu Berlin,Germany,130,3607,Humboldt Universität Berlin,hu-berlin.de,http://www.hu-berlin.de/,0.947,fuzzy
10291,King Abdul Aziz University (KAU),Saudi Arabia,163,7526,King Abdulaziz University,kau.edu.sa,http://www.kau.edu.sa/,0.98,fuzzy
10292,Washington University in St. Louis,United States,167,1211,"Washington University, Saint Louis",wustl.edu,http://www.wustl.edu/,0.939,fuzzy
10295,Khalifa University of Science and Technology,United Arab Emirates,177,8353,Alain University of Science and Technology,alainuniversity.ac.ae,http://www.alainuniversity.ac.ae/,0.93,fuzzy
10322,University of Padova,Italy,233,4822,University of Padua,unipd.it,http://www.unipd.it/,0.923,fuzzy
10335,Universität zu Köln,Germany,272,3706,Universität Köln,uni-koeln.de,http://www.uni-koeln.de/,0.914,fuzzy
10346,University of Southern Denmark,Denmark,303,2952,University of Southern Denmark - SDU,sdu.dk,http://www.sdu.dk/,0.938,fuzzy
10356,Southern University of Science and Technology (SUSTech),China,343,2604,Southwest University of Science and Technology,swust.edu.cn,http://www.swust.edu.cn/,0.945,fuzzy
10368,Universiti Brunei Darussalam (UBD),Brunei Darussalam,367,2030,University of Brunei Darussalam,ubd.edu.bn,http://www.ubd.edu.bn/,0.915,fuzzy
10372,Saint Petersburg State University,Russia,375,7383,St. Petersburg State University,spbu.ru,http://www.spbu.ru/,0.952,fuzzy
10377,University of Luxembourg,Luxembourg,381,5881,University of Luxemburg,uni.lu,http://www.uni.lu/,0.979,fuzzy
10384,Universitat Politècnica de Catalunya,Spain,392,7756,Universidad Politécnica de Cataluna,upc.edu,http://www.upc.edu/,0.93,fuzzy
10401,Aix-Marseille University,France,428,3412,Université d'Aix-Marseille,univ-amu.fr,http://www.univ-amu.fr/,0.91,fuzzy-core
10418,Universidad de Santiago de Chile - USACH,Chile,490,2306,Universidad de Santiago de Chile,usach.cl,http://www.usach.cl/,0.914,fuzzy
